pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,order,layout,collection,thumbnail,full
lew002,"P.S. 180 and P.S. 10, Deborah Lucas-Davis's Elementary Schools",,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,40,exh_item,wadexh,img/derivatives/simple/lew002/thumbnail.jpg,img/derivatives/simple/lew002/fullwidth.jpg
lew003,Harlem junior high schools,,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,41,exh_item,wadexh,img/derivatives/simple/lew003/thumbnail.jpg,img/derivatives/simple/lew003/fullwidth.jpg
lew004,Wadleigh Junior High School,,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,42,exh_item,wadexh,img/derivatives/simple/lew004/thumbnail.jpg,img/derivatives/simple/lew004/fullwidth.jpg
lew005,Donnell Branch of the New York Public Library,,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,43,exh_item,wadexh,img/derivatives/simple/lew005/thumbnail.jpg,img/derivatives/simple/lew005/fullwidth.jpg
lew006,Deborah Lucas-Davis's father owned a newstand at 138th and Lenox Avenue,,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,44,exh_item,wadexh,img/derivatives/simple/lew006/thumbnail.jpg,img/derivatives/simple/lew006/fullwidth.jpg
lew007,"Benjamin Franklin High School, in pink",,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,45,exh_item,wadexh,img/derivatives/simple/lew007/thumbnail.jpg,img/derivatives/simple/lew007/fullwidth.jpg
lew008,"Wadleigh Junior High School and Central Park, site of many Wadleigh alumni picnics",,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,46,exh_item,wadexh,img/derivatives/simple/lew008/thumbnail.jpg,img/derivatives/simple/lew008/fullwidth.jpg
lew011,Parents Press for New P.S. 10,,,New York Amsterdam News,,,,,,"November 10, 1956",,Used with permission,,image,wad,33,exh_item,wadexh,img/derivatives/simple/lew011/thumbnail.jpg,img/derivatives/simple/lew011/fullwidth.jpg
lew012,Deborah Lucas at her debutante ball,,,,Collection of Deborah Lucas-Davis,,,,,c. 1964,,Used with permission,,image,wad,34,exh_item,wadexh,img/derivatives/simple/lew012/thumbnail.jpg,img/derivatives/simple/lew012/fullwidth.jpg
lew013,Honor Certificate presented to Deborah Lucas Davis,,Wadleigh Junior High School,,Collection of Deborah Lucas-Davis,,,,,"June 23, 1964",,Used with permission,,image,wad,35,exh_item,wadexh,img/derivatives/simple/lew013/thumbnail.jpg,img/derivatives/simple/lew013/fullwidth.jpg
lew014,Wadleigh (JHS 88M) patrol badge,,,,Collection of Deborah Lucas-Davis,,,,,c. 1964,,Used with permission,,image,wad,36,exh_item,wadexh,img/derivatives/simple/lew014/thumbnail.jpg,img/derivatives/simple/lew014/fullwidth.jpg
lew015,Entrance to the Donnell Library,,,,New York Public Library,New York Public Library Archives,MssArc RG10 5928,https://digitalcollections.nypl.org/items/510d47dd-e4cc-a3d9-e040-e00a18064a99,,1963,,Creative Commons 1.0,,image,wad,37,exh_item,wadexh,img/derivatives/simple/lew015/thumbnail.jpg,img/derivatives/simple/lew015/fullwidth.jpg
lew016,"Mr. Edouard Plummer's 9th grade class, where Deborah Lucas-Davis is middle row, fourth from left.",,,,Collection of Deborah Lucas-Davis,,,,,1964,,Used with permission,,image,wad,38,exh_item,wadexh,img/derivatives/simple/lew016/thumbnail.jpg,img/derivatives/simple/lew016/fullwidth.jpg
may001,World's Highest Standard of Living,,Margarite Bourke-White,,,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:American_way_of_life.jpg,,1937,,,,image,wad,48,exh_item,wadexh,img/derivatives/simple/may001/thumbnail.jpg,img/derivatives/simple/may001/fullwidth.jpg
may003,Public Schools Teaching Youngsters How To Aid War Effort,,,New York Amsterdam News,,,,,,"June 26, 1943",,,,image,wad,49,exh_item,wadexh,img/derivatives/simple/may003/thumbnail.jpg,img/derivatives/simple/may003/fullwidth.jpg
may004,"Youth Face Jobs, School",,,New York Amsterdam News,,,,,,"September 18, 1943",,,,image,wad,50,exh_item,wadexh,img/derivatives/simple/may004/thumbnail.jpg,img/derivatives/simple/may004/fullwidth.jpg
may005,Something for the Boys: Service Men's Service,,Chequita Cynthia,New York Amsterdam News,,,,,,"November 25, 1944",,,,image,wad,51,exh_item,wadexh,img/derivatives/simple/may005/thumbnail.jpg,img/derivatives/simple/may005/fullwidth.jpg
may006,Modern Ideas Followed in Building New High School,,,The New York Times,,,,,,"March 01, 1903",,,,image,wad,52,exh_item,wadexh,img/derivatives/simple/may006/thumbnail.jpg,img/derivatives/simple/may006/fullwidth.jpg
may007,"Both Races Need Wadleigh High School, Audience is Told",,,New York Amsterdam News,,,,,,"April 15, 1939",,,,image,wad,53,exh_item,wadexh,img/derivatives/simple/may007/thumbnail.jpg,img/derivatives/simple/may007/fullwidth.jpg
may017,Map showing places references in student writing in _The Owl_,,Rodrigo Mayorga,,,,,,,2015,,,,image,wad,54,exh_item,wadexh,img/derivatives/simple/may017/thumbnail.jpg,img/derivatives/simple/may017/fullwidth.jpg
osh006,Wadleigh on Parade,,Goldye Waters and Millicent Brown,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,"Box 1, Folder 10",,,"May 7, 1940",,,,image,wad,29,exh_item,wadexh,img/derivatives/simple/osh006/thumbnail.jpg,img/derivatives/simple/osh006/fullwidth.jpg
osh008,Invitation to the piano recital of Barbara Walcott,,Spillers School of Music,,"Schomburg Center for Research in Black Culture, NYPL",William N. and Isabele T. Spillers Papers,Box 1,,,"January 28, 1933",,,,image,wad,30,exh_item,wadexh,img/derivatives/simple/osh008/thumbnail.jpg,img/derivatives/simple/osh008/fullwidth.jpg
osh009,"Isabele Taliferro Spiller, Music Educator at the Harlem Evening High School",,,,"Schomburg Center for Research in Black Culture, NYPL",William N. and Isabele T. Spiller Photograph Collection,Box 1,,,1953,,,,image,wad,31,exh_item,wadexh,img/derivatives/simple/osh009/thumbnail.jpg,img/derivatives/simple/osh009/fullwidth.jpg
osh010,Musical Spillers School of Music,,Spillers School of Music,,"Schomburg Center for Research in Black Culture, NYPL",William N. and Isabele T. Spillers Papers,,,,1933,,,,image,wad,32,exh_item,wadexh,img/derivatives/simple/osh010/thumbnail.jpg,img/derivatives/simple/osh010/fullwidth.jpg
wad001,"Illustration of Wadleigh’s tower, based on the photograph on the cover of the 1975 Wadleigh Way",,Wadleigh History Project,Wadleigh Way [1975],,,,wadleighhistory.org/yb/wyb028,,,,,,image,wad,67,exh_item,wadexh,Img/derivatives/simple/wad001/thumbnail.jpg,Img/derivatives/simple/wad001/fullwidth.jpg
