pid,label,creator,contributor,source,respository,papers,location,sourcelink,publisher,_date,rights,_tags,_type,site,school,_sourcetype,,order,layout,collection,thumbnail,manifest,full
wyb025,Wadleigh Way [1972],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/6d246540-363b-0134-7c1c-00505686a51c,,1972,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,34,wyb,yb,"/img/derivatives/iiif/images/wyb025/full/250,/0/default.jpg",/img/derivatives/iiif/wyb025/manifest.json,"/img/derivatives/iiif/images/wyb025/full/1140,/0/default.jpg"
wyb026,Wadleigh Way [1974],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/5aa86990-363c-0134-997c-00505686a51c,,1974,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,35,wyb,yb,"/img/derivatives/iiif/images/wyb026/full/250,/0/default.jpg",/img/derivatives/iiif/wyb026/manifest.json,"/img/derivatives/iiif/images/wyb026/full/1140,/0/default.jpg"
wyb027,Wadleigh Way [1973],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/f4d71230-363b-0134-1e25-00505686a51c,,1973,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,36,wyb,yb,"/img/derivatives/iiif/images/wyb027/full/250,/0/default.jpg",/img/derivatives/iiif/wyb027/manifest.json,"/img/derivatives/iiif/images/wyb027/full/1140,/0/default.jpg"
wyb028,Wadleigh Way [1975],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/c04ed060-363c-0134-4c91-00505686a51c,,1975,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,37,wyb,yb,"/img/derivatives/iiif/images/wyb028/full/250,/0/default.jpg",/img/derivatives/iiif/wyb028/manifest.json,"/img/derivatives/iiif/images/wyb028/full/1140,/0/default.jpg"
wyb029,Wadleigh Way [1977],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/fb53b5b0-3649-0134-10f6-00505686a51c,,1977,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,38,wyb,yb,"/img/derivatives/iiif/images/wyb029/full/250,/0/default.jpg",/img/derivatives/iiif/wyb029/manifest.json,"/img/derivatives/iiif/images/wyb029/full/1140,/0/default.jpg"
wyb030,Wadleigh Way [1978],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/5bf0c980-364a-0134-23d3-00505686a51c,,1978,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,39,wyb,yb,"/img/derivatives/iiif/images/wyb030/full/250,/0/default.jpg",/img/derivatives/iiif/wyb030/manifest.json,"/img/derivatives/iiif/images/wyb030/full/1140,/0/default.jpg"
wyb031,Wadleigh Way [1979],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/088deb50-364b-0134-f5fc-00505686a51c,,1979,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,40,wyb,yb,"/img/derivatives/iiif/images/wyb031/full/250,/0/default.jpg",/img/derivatives/iiif/wyb031/manifest.json,"/img/derivatives/iiif/images/wyb031/full/1140,/0/default.jpg"
wyb032,Wadleigh Way [1980],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/e0817b90-364b-0134-3ba2-00505686a51c,,1980,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,41,wyb,yb,"/img/derivatives/iiif/images/wyb032/full/250,/0/default.jpg",/img/derivatives/iiif/wyb032/manifest.json,"/img/derivatives/iiif/images/wyb032/full/1140,/0/default.jpg"
wyb033,Wadleigh Way [1981],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/49706d90-364c-0134-1144-00505686a51c,,1981,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,42,wyb,yb,"/img/derivatives/iiif/images/wyb033/full/250,/0/default.jpg",/img/derivatives/iiif/wyb033/manifest.json,"/img/derivatives/iiif/images/wyb033/full/1140,/0/default.jpg"
wyb034,Wadleigh Way [1982],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/8d8f6a30-3656-0134-5437-00505686a51c,,1982,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,43,wyb,yb,"/img/derivatives/iiif/images/wyb034/full/250,/0/default.jpg",/img/derivatives/iiif/wyb034/manifest.json,"/img/derivatives/iiif/images/wyb034/full/1140,/0/default.jpg"
