pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,sourcecoll,sourceid,linkbase,,order,layout,collection,thumbnail,full
lev027,"[Temporary reproduction] Don't Believe the Hype. We are Achievers!, in The Tale of the Mighty Warriors by Wadleigh Junior High School 88 ",,,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,51,exh_item,wadexhsel,img/derivatives/simple/lev027/thumbnail.jpg,img/derivatives/simple/lev027/fullwidth.jpg
lev028,[Temporary reproduction] Selected page in The Tale of the Mighty Warriors ,,Wadleigh Junior High School 88,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,52,exh_item,wadexhsel,img/derivatives/simple/lev028/thumbnail.jpg,img/derivatives/simple/lev028/fullwidth.jpg
lev029,"[Temporary reproduction] Foreign languages, in Course descriptions, Wadleigh Junior High School ",,John Perkins & Audrey Levy,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,53,exh_item,wadexhsel,img/derivatives/simple/lev029/thumbnail.jpg,img/derivatives/simple/lev029/fullwidth.jpg
lev030,[Temporary reproduction] Language arts,,Kenneth Cheevers,Course Descriptions,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,54,exh_item,wadexhsel,img/derivatives/simple/lev030/thumbnail.jpg,img/derivatives/simple/lev030/fullwidth.jpg
lev031,[Temporary reproduction] Social studies,,I.J. Starr,Course Descriptions,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,55,exh_item,wadexhsel,img/derivatives/simple/lev031/thumbnail.jpg,img/derivatives/simple/lev031/fullwidth.jpg
lev032,"[Temporary reproduction] Selected page, in Course descriptions, Wadleigh Junior High School",,Wadleigh Junior High School ,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,56,exh_item,wadexhsel,img/derivatives/simple/lev032/thumbnail.jpg,img/derivatives/simple/lev032/fullwidth.jpg
lev033,"[Temporary reproduction] The Tale of the Mighty Warriors, cover ",,Wadleigh Junior High School 88 ,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,57,exh_item,wadexhsel,img/derivatives/simple/lev033/thumbnail.jpg,img/derivatives/simple/lev033/fullwidth.jpg
lev034,Voices of the Past bulletin board,,Wadleigh Junior High School ,"Wadleigh Junior High School, The Wadleigh Way, 1985","Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/wyb/wyb037,,1985,,,,image,wad,wyb/,wyb037,www.wadleighhistory.org/,,58,exh_item,wadexhsel,img/derivatives/simple/lev034/thumbnail.jpg,img/derivatives/simple/lev034/fullwidth.jpg
lev035,"Social Studies, p. 11",,Wadleigh Junior High School ,"Wadleigh Junior High School, The Wadleigh Way, 1975","Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/wyb/wyb028,,1975,,,,image,wad,wyb/,wyb028,www.wadleighhistory.org/,,59,exh_item,wadexhsel,img/derivatives/simple/lev035/thumbnail.jpg,img/derivatives/simple/lev035/fullwidth.jpg
lev036,Social Studies,,Wadleigh Junior High School ,"Wadleigh Junior High School, The Wadleigh Way, 1971","Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1980,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,60,exh_item,wadexhsel,img/derivatives/simple/lev036/thumbnail.jpg,img/derivatives/simple/lev036/fullwidth.jpg
lev037,"In the halls of Wadleigh Junior High..., page 2",,Wadleigh Junior High School ,"Wadleigh Junior High School, Wadleigh Way, 1959","Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/wyb016,,1959,,,,image,wad,exh/,wyb016,www.wadleighhistory.org/,,61,exh_item,wadexhsel,img/derivatives/simple/lev037/thumbnail.jpg,img/derivatives/simple/lev037/fullwidth.jpg
